motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.06,1.69023200000811,1,10,242.029187000007
0.06,1.32761199999368,0,10,39.850895999989
0.06,1.80471200000102,0,80,465.04927
0.06,1.37600900000143,1,10,563.985705000001
0.06,2.33586300000024,1,80,97.1058990000001
0.12,2.1130430000012,0,40,537.917184
0.06,0.962243000016315,1,20,329.790674999997
0.12,0.819745999993756,0,80,267.452182999987
0.24,0.985675000003539,0,20,312.014588999999
0.12,1.70782700000564,0,10,332.378895000002
0.12,1.40523199999006,1,10,102.570837999985
0.12,0.824638000001869,1,20,341.946569000002
0.12,1.17700400000103,0,80,310.578998000001
0.06,0.963759000005666,0,10,369.981444999998
0.06,2.38707000000068,0,80,26.0811289999983
0.06,2.02826099999947,0,40,334.290781000003
0.06,2.16307500000403,1,80,369.722377000013
0.06,1.49560300000121,1,20,312.978591000001
0.12,1.72007399999893,1,80,255.881740999999
0.06,2.01133400000072,1,20,59.9624500000009
0.12,1.09631799999988,1,40,387.805187
0.06,2.46657700001379,1,40,89.3709190000081
0.12,1.76270700000168,0,80,411.713258
0.06,1.43466799999806,1,80,188.513009999999
0.06,1.52974200001336,1,10,499.762726999994
0.24,0.86679600001662,0,40,253.017698000011
0.06,1.85820700000113,1,80,76.9629170000007
0.06,0.91775800002506,0,80,224.524160000001
0.06,2.08214899999984,1,20,326.078312
0.06,1.09607400000095,1,20,396.070274
0.12,0.950754000004963,0,80,551.066320000013
0.12,1.85301000000072,1,20,476.510167
0.06,1.87616900000103,0,80,528.842053
0.06,1.56921500000135,1,10,13.5775020000019
0.24,1.15247799999997,1,10,26.5693320000009
0.06,1.29133600002388,0,80,558.604164999997
0.06,1.22986599999422,1,10,412.365225999994
0.24,1.23272999999972,0,80,345.602059999999
0.06,3.13537100001122,1,10,4.44262399998843
0.06,0.962068999999246,1,40,568.237211
0.06,2.22666900002514,1,80,417.244030000002
0.12,0.586472000000867,0,80,274.078862
0.12,1.76396000000022,0,80,609.961070999998
0.06,1.04582100000152,1,20,334.042570000001
0.24,1.21997600000032,0,80,305.513115999998
0.06,1.46586000000025,1,20,108.978607000001
0.24,1.22684600000503,0,10,12.6291760000022
0.06,0.743329000004451,0,40,549.873866000009
0.12,1.31210500000088,0,80,540.945997000001
